nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,pmid
NCT02684669,,2016-02-10,,,2016-11-23,2016-02-17,2016-02-18,Estimate,,,,,,,2016-11-23,2016-11-25,Estimate,February 2016,,2016-02-29,November 2016,2016-11-30,January 2017,,2017-01-31,September 2016,Actual,2016-09-30,,Interventional,TCI-NX-BI,,Effect of High-dose Target-controlled Naloxone Infusion on Pain and Hyperalgesia During a Burn Injury,"Effect of High-dose Target-controlled Naloxone Infusion on Pain and Hyperalgesia During a Burn Injury. A Randomized, Placebo-controlled, Double-blind Crossover Study",Completed,,Phase 2,80,Actual,University of Copenhagen,,2,,,FALSE,,,,TRUE,,,,,,,,,,,No,No plan to make individual participant data (IPD) available,2022-06-24 10:56:55,2022-06-24 10:56:55,OTHER,,,,,26305798
NCT02683408,,2016-02-12,,,2017-08-14,2016-02-12,2016-02-17,Estimate,,,,,,,2017-08-14,2017-08-17,Actual,February 2016,Actual,2016-02-29,August 2017,2017-08-31,July 2017,Actual,2017-07-31,July 2017,Actual,2017-07-31,,Interventional,,,Diosmiplex (Vasculera®) in Primary and Secondary Raynaud's Phenomenon,Diosmiplex (Vasculera®) in Primary and Secondary Raynaud's Phenomenon,Completed,,Not Applicable,87,Actual,Primus Pharmaceuticals,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,,2022-06-24 10:57:26,2022-06-24 10:57:26,INDUSTRY,,,,,
NCT02680977,,2016-02-09,,,2016-10-04,2016-02-09,2016-02-12,Estimate,,,,,,,2016-10-04,2016-10-05,Estimate,February 2016,,2016-02-29,October 2016,2016-10-31,September 2016,Actual,2016-09-30,May 2016,Actual,2016-05-31,,Interventional,,,Mucuna Pruriens Therapy in Parkinson's Disease,"Mucuna Pruriens Therapy in Parkinson's Disease: a Double-blind, Placebo-controlled, Randomized, Crossover Study.",Completed,,Phase 2,18,Actual,ASST Gaetano Pini-CTO,,3,,,FALSE,,,,FALSE,,,,,,,,,,,Undecided,,2022-06-24 10:59:42,2022-06-24 10:59:42,OTHER,,,,,29352722
NCT02678663,,2016-02-03,,,2017-01-30,2016-02-05,2016-02-10,Estimate,,,,,,,2017-01-30,2017-01-31,Estimate,January 2016,,2016-01-31,January 2017,2017-01-31,January 2017,Actual,2017-01-31,November 2016,Actual,2016-11-30,,Interventional,,,Injection-Assisted Cold Snare Polypectomy Versus Endoscopic Mucosal Resection for Small Colorectal Polyps,Randomized Comparison of Injection-Assisted Cold Snare Polypectomy Versus Endoscopic Mucosal Resection for Small (6-10mm) Colorectal Polyps,Completed,,Not Applicable,164,Actual,Benizelion General Hospital,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,,2022-06-24 11:02:16,2022-06-24 11:02:16,OTHER,,,,,28898922
NCT02675569,,2016-01-26,,,2020-11-23,2016-02-03,2016-02-05,Estimate,,,,,,,2020-11-23,2020-11-25,Actual,May 2016,,2016-05-31,November 2020,2020-11-30,November 2021,Anticipated,2021-11-30,August 2021,Anticipated,2021-08-31,,Interventional,ACCESS HD,,ACCESS HD: Comparing Catheters to Fistulas in Elderly Patients Starting Hemodialysis,ACCESS HD Pilot: A Randomized Trial Comparing Catheters to Fistulas in Elderly patientS Starting HemoDialysis,Recruiting,,Not Applicable,100,Anticipated,University of Calgary,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,,2022-06-24 11:04:38,2022-06-24 11:04:38,OTHER,,,,,27884849
NCT02673892,,2016-02-01,,,2019-07-17,2016-02-01,2016-02-04,Estimate,,,,,,,2019-07-17,2019-07-19,Actual,February 2016,Actual,2016-02-29,April 2019,2019-04-30,November 2018,Actual,2018-11-30,August 2018,Actual,2018-08-31,,Interventional,PODS,,Patient Oriented Discharge Summary Impact Study,The Impact of a Patient-Centered Discharge Summary (PODS) on Patient Experience and Health Outcomes Following Discharge: A Multicenter Randomized Controlled Trial,Terminated,,Not Applicable,581,Actual,"University Health Network, Toronto",,2,,"Recommendation of DMC - challenges recruiting, statistical considerations",FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-24 11:06:01,2022-06-24 11:06:01,OTHER,,,,,
NCT02673255,,2016-01-29,,,2021-07-19,2016-02-01,2016-02-03,Estimate,,,,,,,2021-07-19,2021-07-20,Actual,"August 22, 2016",Actual,2016-08-22,December 2019,2019-12-31,"July 29, 2019",Actual,2019-07-29,"July 29, 2019",Actual,2019-07-29,,Interventional,,,Safety and Efficacy of Two Tetanus-Diphtheria Vaccines for a Donor Hyper Immunization Program,Safety and Efficacy of Two Tetanus-Diphtheria Vaccines for a Donor Hyper Immunization Program,Completed,,Phase 1,300,Actual,"Biomat USA, Inc.",,2,,,FALSE,,,,TRUE,,,,,,,,,,,Yes,,2022-06-24 11:06:34,2022-06-24 11:06:34,INDUSTRY,,,,,
NCT02673281,,2016-01-13,,,2021-05-04,2016-02-02,2016-02-03,Estimate,,,,,,,2021-05-04,2021-05-06,Actual,January 2016,,2016-01-31,May 2021,2021-05-31,February 2022,Anticipated,2022-02-28,February 2022,Anticipated,2022-02-28,,Interventional,,,Activation of Brain Centers by Short-term Walnut Consumption in Obesity,Activation of Brain Centers Responsible for Decreasing Appetite and Improvement of the Cardiometabolic Profile by Short-term Walnut Consumption in Obesity: A Pilot Study,"Active, not recruiting",,Not Applicable,10,Anticipated,Beth Israel Deaconess Medical Center,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,Individual Participant data will be kept confidential.,2022-06-24 11:06:40,2022-06-24 11:06:40,OTHER,,,,,33541836
NCT02734550,,2016-04-06,,,2019-12-19,2016-04-06,2016-04-12,Estimate,,,,,,,2019-12-19,2019-12-20,Actual,"September 12, 2016",Actual,2016-09-12,December 2019,2019-12-31,"September 17, 2019",Actual,2019-09-17,"August 22, 2019",Actual,2019-08-22,,Interventional,CandiSep,,"(1,3)-β-D-glucan Based Diagnosis of Invasive Candida Infection in Sepsis","(1,3)-β-D-glucan Based Diagnosis of Invasive Candida Infection Versus Culture Based Diagnosis in Patients With Severe Sepsis or Septic Shock",Completed,,Not Applicable,342,Actual,"Center for Sepsis Control and Care, Germany",,2,,,FALSE,,,,TRUE,,,,,,,,,,,No,,2022-06-24 8:39:03,2022-06-24 8:39:03,OTHER,,,,,35708758
NCT01329107,,2011-03-10,,,2013-08-05,2011-04-04,2011-04-05,Estimate,,,,,,,2013-08-05,2013-08-07,Estimate,April 2011,,2011-04-30,August 2013,2013-08-31,June 2013,Actual,2013-06-30,June 2013,Actual,2013-06-30,,Interventional,MRPBC,,Multimodal Rehabilitation Program to Bladder Cancer Patients,Efficacy of a Multimodal Rehabilitation Program to Bladder Cancer Patients,Completed,,Not Applicable,129,Actual,University of Aarhus,,2,,,FALSE,,,,TRUE,,,,,,,,,,,,,2022-06-08 12:15:35,2022-06-08 12:15:35,,,,,,
