title,param_value,param_type,nct_id,classification,subjects_affected,subjects_at_risk,event_count,adverse_event_term
,,,NCT00574548,"Total, serious adverse events",2.0,478.0,,
,,,NCT00574548,"Total, other adverse events",256.0,478.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",1.0,237.0,,
,,,NCT00574548,"Total, other adverse events",102.0,237.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",15.0,478.0,,
,,,NCT00574548,"Total, other adverse events",41.0,478.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",6.0,237.0,,
,,,NCT00574548,"Total, other adverse events",24.0,237.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",0.0,160.0,,
,,,NCT00574548,"Total, other adverse events",97.0,160.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",2.0,267.0,,
,,,NCT00574548,"Total, other adverse events",198.0,267.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",1.0,223.0,,
,,,NCT00574548,"Total, other adverse events",118.0,223.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",5.0,160.0,,
,,,NCT00574548,"Total, other adverse events",16.0,160.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",6.0,267.0,,
,,,NCT00574548,"Total, other adverse events",23.0,267.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,"Total, serious adverse events",3.0,223.0,,
,,,NCT00574548,"Total, other adverse events",16.0,223.0,,
,,,NCT00574548,"Total, all-cause mortality",,,,
,,,NCT00574548,,0.0,478.0,,Angina unstable
,,,NCT00574548,,1.0,237.0,,Angina unstable
,,,NCT00574548,,0.0,478.0,,Angina unstable
,,,NCT00574548,,0.0,237.0,,Angina unstable
,,,NCT00574548,,0.0,160.0,,Angina unstable
,,,NCT00574548,,0.0,267.0,,Angina unstable
,,,NCT00574548,,0.0,223.0,,Angina unstable
,,,NCT00574548,,0.0,160.0,,Angina unstable
,,,NCT00574548,,0.0,267.0,,Angina unstable
,,,NCT00574548,,0.0,223.0,,Angina unstable
,,,NCT00574548,,0.0,478.0,,Arrhythmia
,,,NCT00574548,,1.0,237.0,,Arrhythmia
,,,NCT00574548,,0.0,478.0,,Arrhythmia
,,,NCT00574548,,0.0,237.0,,Arrhythmia
,,,NCT00574548,,0.0,160.0,,Arrhythmia
,,,NCT00574548,,0.0,267.0,,Arrhythmia
,,,NCT00574548,,0.0,223.0,,Arrhythmia
,,,NCT00574548,,0.0,160.0,,Arrhythmia
,,,NCT00574548,,0.0,267.0,,Arrhythmia
,,,NCT00574548,,0.0,223.0,,Arrhythmia
,,,NCT00574548,,0.0,478.0,,Myocardial infarction
,,,NCT00574548,,1.0,237.0,,Myocardial infarction
,,,NCT00574548,,1.0,478.0,,Myocardial infarction
,,,NCT00574548,,0.0,237.0,,Myocardial infarction
,,,NCT00574548,,0.0,160.0,,Myocardial infarction
,,,NCT00574548,,0.0,267.0,,Myocardial infarction
,,,NCT00574548,,0.0,223.0,,Myocardial infarction
,,,NCT00574548,,0.0,160.0,,Myocardial infarction
,,,NCT00574548,,0.0,267.0,,Myocardial infarction
,,,NCT00574548,,0.0,223.0,,Myocardial infarction
,,,NCT00574548,,0.0,478.0,,Angina pectoris
,,,NCT00574548,,0.0,237.0,,Angina pectoris
,,,NCT00574548,,1.0,478.0,,Angina pectoris
,,,NCT00574548,,0.0,237.0,,Angina pectoris
,,,NCT00574548,,0.0,160.0,,Angina pectoris
,,,NCT00574548,,0.0,267.0,,Angina pectoris
,,,NCT00574548,,0.0,223.0,,Angina pectoris
,,,NCT00574548,,0.0,160.0,,Angina pectoris
,,,NCT00574548,,1.0,267.0,,Angina pectoris
,,,NCT00574548,,0.0,223.0,,Angina pectoris
,,,NCT00574548,,0.0,478.0,,Coronary artery disease
,,,NCT00574548,,0.0,237.0,,Coronary artery disease
,,,NCT00574548,,0.0,478.0,,Coronary artery disease
,,,NCT00574548,,0.0,237.0,,Coronary artery disease
,,,NCT00574548,,0.0,160.0,,Coronary artery disease
,,,NCT00574548,,0.0,267.0,,Coronary artery disease
,,,NCT00574548,,0.0,223.0,,Coronary artery disease
,,,NCT00574548,,0.0,160.0,,Coronary artery disease
,,,NCT00574548,,0.0,267.0,,Coronary artery disease
,,,NCT00574548,,1.0,223.0,,Coronary artery disease
,,,NCT00574548,,0.0,478.0,,Vertigo positional
,,,NCT00574548,,0.0,237.0,,Vertigo positional
,,,NCT00574548,,1.0,478.0,,Vertigo positional
,,,NCT00574548,,0.0,237.0,,Vertigo positional
,,,NCT00574548,,0.0,160.0,,Vertigo positional
,,,NCT00574548,,0.0,267.0,,Vertigo positional
,,,NCT00574548,,0.0,223.0,,Vertigo positional
,,,NCT00574548,,0.0,160.0,,Vertigo positional
,,,NCT00574548,,0.0,267.0,,Vertigo positional
,,,NCT00574548,,0.0,223.0,,Vertigo positional
,,,NCT00574548,,0.0,478.0,,Goitre
,,,NCT00574548,,0.0,237.0,,Goitre
,,,NCT00574548,,0.0,478.0,,Goitre
,,,NCT00574548,,0.0,237.0,,Goitre
,,,NCT00574548,,0.0,160.0,,Goitre
,,,NCT00574548,,0.0,267.0,,Goitre
,,,NCT00574548,,0.0,223.0,,Goitre
,,,NCT00574548,,0.0,160.0,,Goitre
,,,NCT00574548,,1.0,267.0,,Goitre
,,,NCT00574548,,0.0,223.0,,Goitre
,,,NCT00574548,,0.0,478.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,237.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,1.0,478.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,237.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,160.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,267.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,223.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,160.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,267.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,223.0,,Gastrointestinal haemorrhage
,,,NCT00574548,,0.0,478.0,,Intestinal infarction
,,,NCT00574548,,0.0,237.0,,Intestinal infarction
,,,NCT00574548,,1.0,478.0,,Intestinal infarction
,,,NCT00574548,,0.0,237.0,,Intestinal infarction
,,,NCT00574548,,0.0,160.0,,Intestinal infarction
,,,NCT00574548,,0.0,267.0,,Intestinal infarction
,,,NCT00574548,,0.0,223.0,,Intestinal infarction
,,,NCT00574548,,0.0,160.0,,Intestinal infarction
,,,NCT00574548,,0.0,267.0,,Intestinal infarction
,,,NCT00574548,,0.0,223.0,,Intestinal infarction
,,,NCT00574548,,0.0,478.0,,Pancreatitis
,,,NCT00574548,,0.0,237.0,,Pancreatitis
,,,NCT00574548,,1.0,478.0,,Pancreatitis
,,,NCT00574548,,0.0,237.0,,Pancreatitis
,,,NCT00574548,,0.0,160.0,,Pancreatitis
,,,NCT00574548,,0.0,267.0,,Pancreatitis
,,,NCT00574548,,0.0,223.0,,Pancreatitis
,,,NCT00574548,,0.0,160.0,,Pancreatitis
,,,NCT00574548,,0.0,267.0,,Pancreatitis
,,,NCT00574548,,0.0,223.0,,Pancreatitis
,,,NCT00574548,,0.0,478.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,237.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,478.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,237.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,160.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,267.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,223.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,160.0,,Small intestinal obstruction
,,,NCT00574548,,1.0,267.0,,Small intestinal obstruction
,,,NCT00574548,,1.0,223.0,,Small intestinal obstruction
,,,NCT00574548,,0.0,478.0,,Non-cardiac chest pain
,,,NCT00574548,,0.0,237.0,,Non-cardiac chest pain
,,,NCT00574548,,0.0,478.0,,Non-cardiac chest pain
,,,NCT00574548,,1.0,237.0,,Non-cardiac chest pain
,,,NCT00574548,,0.0,160.0,,Non-cardiac chest pain
,,,NCT00574548,,0.0,267.0,,Non-cardiac chest pain
,,,NCT00574548,,0.0,223.0,,Non-cardiac chest pain
,,,NCT00574548,,0.0,160.0,,Non-cardiac chest pain
,,,NCT00574548,,1.0,267.0,,Non-cardiac chest pain
,,,NCT00574548,,1.0,223.0,,Non-cardiac chest pain
,,,NCT00574548,,0.0,478.0,,Cholecystitis acute
,,,NCT00574548,,0.0,237.0,,Cholecystitis acute
,,,NCT00574548,,1.0,478.0,,Cholecystitis acute
,,,NCT00574548,,0.0,237.0,,Cholecystitis acute
,,,NCT00574548,,0.0,160.0,,Cholecystitis acute
,,,NCT00574548,,0.0,267.0,,Cholecystitis acute
,,,NCT00574548,,0.0,223.0,,Cholecystitis acute
,,,NCT00574548,,0.0,160.0,,Cholecystitis acute
,,,NCT00574548,,0.0,267.0,,Cholecystitis acute
,,,NCT00574548,,0.0,223.0,,Cholecystitis acute
,,,NCT00574548,,0.0,478.0,,Appendicitis
,,,NCT00574548,,0.0,237.0,,Appendicitis
,,,NCT00574548,,1.0,478.0,,Appendicitis
,,,NCT00574548,,0.0,237.0,,Appendicitis
,,,NCT00574548,,0.0,160.0,,Appendicitis
,,,NCT00574548,,0.0,267.0,,Appendicitis
,,,NCT00574548,,0.0,223.0,,Appendicitis
,,,NCT00574548,,0.0,160.0,,Appendicitis
,,,NCT00574548,,0.0,267.0,,Appendicitis
,,,NCT00574548,,0.0,223.0,,Appendicitis
,,,NCT00574548,,0.0,478.0,,Cellulitis orbital
,,,NCT00574548,,0.0,237.0,,Cellulitis orbital
,,,NCT00574548,,1.0,478.0,,Cellulitis orbital
,,,NCT00574548,,0.0,237.0,,Cellulitis orbital
,,,NCT00574548,,0.0,160.0,,Cellulitis orbital
,,,NCT00574548,,0.0,267.0,,Cellulitis orbital
,,,NCT00574548,,0.0,223.0,,Cellulitis orbital
,,,NCT00574548,,0.0,160.0,,Cellulitis orbital
,,,NCT00574548,,0.0,267.0,,Cellulitis orbital
,,,NCT00574548,,0.0,223.0,,Cellulitis orbital
,,,NCT00574548,,0.0,478.0,,Perirectal abscess
,,,NCT00574548,,0.0,237.0,,Perirectal abscess
,,,NCT00574548,,1.0,478.0,,Perirectal abscess
,,,NCT00574548,,0.0,237.0,,Perirectal abscess
,,,NCT00574548,,0.0,160.0,,Perirectal abscess
,,,NCT00574548,,0.0,267.0,,Perirectal abscess
,,,NCT00574548,,0.0,223.0,,Perirectal abscess
,,,NCT00574548,,0.0,160.0,,Perirectal abscess
,,,NCT00574548,,0.0,267.0,,Perirectal abscess
,,,NCT00574548,,0.0,223.0,,Perirectal abscess
,,,NCT00574548,,0.0,478.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,237.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,478.0,,Staphylococcal abscess
,,,NCT00574548,,1.0,237.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,160.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,267.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,223.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,160.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,267.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,223.0,,Staphylococcal abscess
,,,NCT00574548,,0.0,478.0,,Fall
,,,NCT00574548,,0.0,237.0,,Fall
,,,NCT00574548,,1.0,478.0,,Fall
,,,NCT00574548,,0.0,237.0,,Fall
,,,NCT00574548,,0.0,160.0,,Fall
,,,NCT00574548,,0.0,267.0,,Fall
,,,NCT00574548,,0.0,223.0,,Fall
,,,NCT00574548,,0.0,160.0,,Fall
,,,NCT00574548,,0.0,267.0,,Fall
,,,NCT00574548,,0.0,223.0,,Fall
,,,NCT00574548,,0.0,478.0,,Post procedural bile leak
,,,NCT00574548,,0.0,237.0,,Post procedural bile leak
,,,NCT00574548,,1.0,478.0,,Post procedural bile leak
,,,NCT00574548,,0.0,237.0,,Post procedural bile leak
,,,NCT00574548,,0.0,160.0,,Post procedural bile leak
,,,NCT00574548,,0.0,267.0,,Post procedural bile leak
,,,NCT00574548,,0.0,223.0,,Post procedural bile leak
,,,NCT00574548,,0.0,160.0,,Post procedural bile leak
,,,NCT00574548,,0.0,267.0,,Post procedural bile leak
,,,NCT00574548,,0.0,223.0,,Post procedural bile leak
,,,NCT00574548,,0.0,478.0,,Hip fracture
,,,NCT00574548,,0.0,237.0,,Hip fracture
,,,NCT00574548,,0.0,478.0,,Hip fracture
,,,NCT00574548,,0.0,237.0,,Hip fracture
,,,NCT00574548,,0.0,160.0,,Hip fracture
,,,NCT00574548,,0.0,267.0,,Hip fracture
,,,NCT00574548,,0.0,223.0,,Hip fracture
,,,NCT00574548,,0.0,160.0,,Hip fracture
,,,NCT00574548,,1.0,267.0,,Hip fracture
,,,NCT00574548,,0.0,223.0,,Hip fracture
,,,NCT00574548,,0.0,478.0,,Accidental overdose
,,,NCT00574548,,0.0,237.0,,Accidental overdose
,,,NCT00574548,,0.0,478.0,,Accidental overdose
,,,NCT00574548,,0.0,237.0,,Accidental overdose
,,,NCT00574548,,0.0,160.0,,Accidental overdose
,,,NCT00574548,,0.0,267.0,,Accidental overdose
,,,NCT00574548,,0.0,223.0,,Accidental overdose
,,,NCT00574548,,0.0,160.0,,Accidental overdose
,,,NCT00574548,,0.0,267.0,,Accidental overdose
,,,NCT00574548,,1.0,223.0,,Accidental overdose
,,,NCT00574548,,0.0,478.0,,Foot fracture
,,,NCT00574548,,0.0,237.0,,Foot fracture
,,,NCT00574548,,0.0,478.0,,Foot fracture
,,,NCT00574548,,0.0,237.0,,Foot fracture
,,,NCT00574548,,0.0,160.0,,Foot fracture
,,,NCT00574548,,0.0,267.0,,Foot fracture
,,,NCT00574548,,0.0,223.0,,Foot fracture
,,,NCT00574548,,1.0,160.0,,Foot fracture
,,,NCT00574548,,0.0,267.0,,Foot fracture
,,,NCT00574548,,0.0,223.0,,Foot fracture
,,,NCT00574548,,0.0,478.0,,Hypokalaemia
,,,NCT00574548,,0.0,237.0,,Hypokalaemia
,,,NCT00574548,,1.0,478.0,,Hypokalaemia
,,,NCT00574548,,0.0,237.0,,Hypokalaemia
,,,NCT00574548,,0.0,160.0,,Hypokalaemia
,,,NCT00574548,,0.0,267.0,,Hypokalaemia
,,,NCT00574548,,0.0,223.0,,Hypokalaemia
,,,NCT00574548,,0.0,160.0,,Hypokalaemia
,,,NCT00574548,,0.0,267.0,,Hypokalaemia
,,,NCT00574548,,0.0,223.0,,Hypokalaemia
,,,NCT00574548,,0.0,478.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,237.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,478.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,237.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,160.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,267.0,,Intervertebral disc degeneration
,,,NCT00574548,,0.0,223.0,,Intervertebral disc degeneration
