title,param_value,param_type,nct_id,classification,subjects_affected,,subjects_at_risk,event_count,adverse_event_term,,,
Area Under the Curve (AUC) of Total Symptom Score,61.18,Geometric Mean,NCT03691623,,,,,,,,,
Area Under the Curve (AUC) of Total Symptom Score,37.36,Geometric Mean,NCT03691623,,,,,,,,,
Area Under the Curve (AUC) of Total Symptom Score,252.49,Geometric Mean,NCT03691623,,,,,,,,,
Area Under the Curve (AUC) of Total Symptom Score,26.7,Geometric Mean,NCT03691623,,,,,,,,,
Area Under the Curve (AUC) of Total Symptom Score,27.81,Geometric Mean,NCT03691623,,,,,,,,,
Area Under the Curve (AUC) of Total Symptom Score,232.53,Geometric Mean,NCT03691623,,,,,,,,,
Peak Total Symptom Score,2.3,Geometric Mean,NCT03691623,,,,,,,,,
Peak Total Symptom Score,1.9,Geometric Mean,NCT03691623,,,,,,,,,
Peak Total Symptom Score,4.9,Geometric Mean,NCT03691623,,,,,,,,,
Peak Total Symptom Score,1.6,Geometric Mean,NCT03691623,,,,,,,,,
Peak Total Symptom Score,1.8,Geometric Mean,NCT03691623,,,,,,,,,
Peak Total Symptom Score,4.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.8,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,1.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.8,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.7,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.9,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.5,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.7,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.3,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.7,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.2,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.4,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,0.6,Geometric Mean,NCT03691623,,,,,,,,,
Total Symptom Score,2.7,Geometric Mean,NCT03691623,,,,,,,,,
