title,param_value,param_type,nct_id,classification,subjects_affected,,subjects_at_risk,event_count,adverse_event_term,,,,,,
Diarrheal Stool Output Rate Including Participants With Symptom Onset After 48 Hours,25.42,Median,NCT04150250,,,,,,,,,,,,
Diarrheal Stool Output Rate Including Participants With Symptom Onset After 48 Hours,29.22,Median,NCT04150250,,,,,,,,,,,,
Number of Participants With Treatment-emergent Serious Adverse Events,0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Treatment-emergent Serious Adverse Events,1,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,3,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,2,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,2,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,1,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,1,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Solicited Adverse Effects,1,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),18,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),21,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),4,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),3,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),0,Count of Participants,NCT04150250,,,,,,,,,,,,
Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE),0,Count of Participants,NCT04150250,,,,,,,,,,,,
,,,NCT04150250,"Total, serious adverse events",0,,23,,,,,,,,
,,,NCT04150250,"Total, other adverse events",18,,23,,,,,,,,
,,,NCT04150250,"Total, all-cause mortality",0,,23,,,,,,,,
,,,NCT04150250,"Total, serious adverse events",1,,24,,,,,,,,
