,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
0,NCT00296959,,2006-02-23,,,2007-09-19,2006-02-23,2006-02-27,Estimate,,,,,,,2007-09-19,2007-09-20,Estimate,September 2004,,2004-09-30,August 2007,2007-08-31,March 2007,Actual,2007-03-31,,,,,Interventional,,,Topiramate as a Treatment for Levodopa-Induced Dyskinesia in Parkinson's Disease,"Anti-Dyskinetic Properties of Topiramate: A Double-Blind, Placebo-Controlled Trial in Patients With Parkinson's Disease and Levodopa-Induced Dyskinesias",Terminated,,Phase 2,20,Anticipated,"University Health Network, Toronto",,,,early termination due to slow recruitment,False,,,,,,,,,,,,,,,,,2023-04-07 13:40:00.643549,2023-04-07 13:40:00.643549,OTHER,,,,,
1,NCT00297739,,2006-02-28,,,2006-03-15,2006-02-28,2006-03-01,Estimate,,,,,,,2006-03-15,2006-03-16,Estimate,January 2003,,2003-01-31,March 2006,2006-03-31,April 2005,,2005-04-30,,,,,Interventional,,,Risperidone Augmentation for Treatment-Resistant Aggression in ADHD,Risperidone Augmentation for Treatment-Resistant Aggression in ADHD,Completed,,Phase 4,25,,"Armenteros, Jorge L., M.D., P.A.",,,,,False,,,,,,,,,,,,,,,,,2023-04-07 13:40:17.762693,2023-04-07 13:40:17.762693,INDIV,,,,,
2,NCT04383496,,2020-04-29,,,2022-07-13,2020-05-06,2020-05-12,Actual,,,,,,,2022-07-13,2022-07-14,Actual,"March 2, 2021",Actual,2021-03-02,July 2022,2022-07-31,"June 28, 2022",Actual,2022-06-28,"June 28, 2022",Actual,2022-06-28,,Interventional,I CARE for Vet,,Increasing Activity for Veterans With PTSD,I CARE for Vets: InCreasing Activity & REcovery for Veterans With PTSD,Completed,,Phase 1,21,Actual,VA Office of Research and Development,,1.0,,,False,,,,False,False,False,,,False,,,,,,No,,2023-04-07 13:42:10.756214,2023-04-07 13:42:10.756214,FED,,,,,
3,NCT04371614,,2020-04-28,,,2022-10-04,2020-04-30,2020-05-01,Actual,,,,,,,2022-10-04,2022-10-05,Actual,"July 14, 2016",Actual,2016-07-14,April 2020,2020-04-30,"July 31, 2020",Actual,2020-07-31,"March 19, 2019",Actual,2019-03-19,,Interventional,PTSC-RCT,,PTSC: Improving Hypertension Control Among Poor Midlife African American Women,PTSC: Improving Hypertension Control Among Poor Midlife African American Women,Completed,,Not Applicable,359,Actual,Johns Hopkins Bloomberg School of Public Health,,2.0,,,False,,,,False,False,False,,,,,,,,,No,,2023-04-07 13:42:45.611205,2023-04-07 13:42:45.611205,OTHER,,,,,
4,NCT04135703,,2019-10-20,,,2022-10-03,2019-10-20,2019-10-23,Actual,,,,,,,2022-10-03,2022-10-05,Actual,"December 1, 2019",Actual,2019-12-01,October 2022,2022-10-31,August 2024,Anticipated,2024-08-31,February 2024,Anticipated,2024-02-29,,Interventional,HOME,,"Prevention of OUD: The HOME Project (Housing, Opportunities, Motivation and Engagement)","Prevention of OUD: The HOME (Housing, Opportunities, Motivation and Engagement) Randomized Trial",Recruiting,,Not Applicable,240,Anticipated,Ohio State University,,2.0,,,False,,,,True,False,False,,,,,,,,,No,,2023-04-07 13:43:09.556793,2023-04-07 13:43:09.556793,OTHER,,,,,
5,NCT03885401,,2019-03-09,,,2022-10-03,2019-03-19,2019-03-21,Actual,,,,,,,2022-10-03,2022-10-05,Actual,"September 20, 2020",Actual,2020-09-20,October 2022,2022-10-31,August 2024,Anticipated,2024-08-31,August 2023,Anticipated,2023-08-31,,Interventional,,,Enhanced Care Planning for Patients With Multiple Chronic Conditions,Enhanced Care Planning and Clinical-Community Linkages to Comprehensively Address the Basic Needs of Patients With Multiple Chronic Conditions,Recruiting,,Not Applicable,600,Anticipated,Virginia Commonwealth University,,2.0,,,False,,,,True,False,False,,,,,,,,,No,,2023-04-07 13:43:50.317892,2023-04-07 13:43:50.317892,OTHER,,,,,
6,NCT02959957,,2016-10-13,,,2019-09-12,2016-11-07,2016-11-09,Estimate,,,,,,,2019-09-12,2019-09-16,Actual,"May 20, 2016",Actual,2016-05-20,September 2019,2019-09-30,August 2019,Actual,2019-08-31,August 2019,Actual,2019-08-31,,Interventional,,,Disturbance of the Intestinal Microbiota by Temocillin vs Cefotaxime in Treatment of Febrile Urinary Tract Infections,"A Randomized, Controlled, Multicentre Trial of Collateral Damage on the Intestinal Microbiota Inferred by Temocillin Versus Cefotaxime in Patients Receiving Empirical Treatment for Febrile Urinary Tract Infections",Completed,,Phase 4,157,Actual,Public Health Agency of Sweden,,2.0,,,False,,,,False,,,,,,,,,,,No,,2023-04-07 13:44:35.246870,2023-04-07 13:44:35.246870,OTHER_GOV,,,,,
7,NCT02459249,,2015-04-06,,,2016-02-23,2015-05-28,2015-06-02,Estimate,,,,,,,2016-02-23,2016-02-25,Estimate,April 2015,,2015-04-30,February 2016,2016-02-29,July 2016,Anticipated,2016-07-31,June 2016,Anticipated,2016-06-30,,Interventional,PrEVEnTYCM,,Metabolic Syndrome Diagnosis and Treatment for Adults of Low Socioeconomic Status Communities,Treatment of Metabolic Alterations in Adults Living in Communities With Low Socioeconomic Status,Unknown status,Recruiting,Not Applicable,120,Anticipated,Mexican National Institute of Public Health,,2.0,,,False,,,,True,,,,,,,,,,,,,2023-04-10 03:46:46.288198,2023-04-10 03:46:46.288198,OTHER_GOV,,,,,
8,NCT00420082,,2007-01-08,,,2012-04-04,2007-01-08,2007-01-09,Estimate,,,,,,,2012-04-04,2012-04-05,Estimate,October 2006,,2006-10-31,April 2012,2012-04-30,December 2006,Actual,2006-12-31,,,,,Interventional,,,"A Randomized, Double-Blind, 4-way Crossover Study to Evaluate the Efficacy of Bilastine in the Vienna Challenge Chamber","A Randomized, Double-Blind, 4 Way Cross-over, Placebo Controlled Trial to Evaluate the Onset of Action of Bilastine 20 mg vs. Placebo, Cetirizine 10 mg, and Fexofenadine 120 mg in the Vienna Challenge Chamber",Completed,,Phase 2,75,Actual,"Faes Farma, S.A.",,4.0,,,False,,,,False,,,,,,,,,,,,,2023-04-07 13:45:08.055656,2023-04-07 13:45:08.055656,INDUSTRY,,,,,
9,NCT00124215,,2005-07-25,,,2010-05-03,2005-07-25,2005-07-27,Estimate,,,,,,,2010-05-03,2010-05-05,Estimate,June 2005,,2005-06-30,May 2010,2010-05-31,February 2010,Actual,2010-02-28,June 2007,Actual,2007-06-30,,Interventional,,,Safety and Efficacy of the Therapeutic Vaccine GI-5005 Versus Placebo for the Treatment of Chronic Hepatitis C Infection,"A Phase 1 Double-Blind, Placebo Controlled, Dose-Escalation, Multi-center Therapeutic Trial of the Safety, Immunogenicity, and Efficacy of GI-5005; an Inactivated Recombinant Saccharomyces Cerevisiae Expressing a Hepatitis C Virus NS3-Core Fusion Protein, in Patients With Chronic Hepatitis C Infection",Completed,,Phase 1,48,Anticipated,GlobeImmune,,,,,False,,,,,,,,,,,,,,,,,2023-04-07 13:46:17.639192,2023-04-07 13:46:17.639192,INDUSTRY,,,,,
