,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
0,NCT04376632,,4/30/20,,,5/27/22,5/1/20,5/6/20,Actual,,,,,,,5/27/22,6/1/22,Actual,10-Aug-18,Actual,8/10/18,May-22,5/31/22,1-Jun-21,Actual,6/1/21,1-Jun-21,Actual,6/1/21,,Interventional,,,Diets Enriched With Pecans,Comparison of Health Effects of Diets With and Without Pecans,Completed,,Not Applicable,124,Actual,University of Georgia,,3,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,The plan is to share group averages through publication.,42:18.5,42:18.5
1,NCT04283448,,2/5/20,,,5/27/22,2/21/20,2/25/20,Actual,,,,,,,5/27/22,6/1/22,Actual,22-May-20,Actual,5/22/20,May-22,5/31/22,Dec-23,Anticipated,12/31/23,Dec-23,Anticipated,12/31/23,,Interventional,,,Impacts of Lentils on Metabolism and Inflammation,Gut Microbiota Dependent and Independent Impacts of Dietary Pulses on Pre- and Postprandial Metabolism and Inflammation in Overweight/Obese Humans,Recruiting,,Not Applicable,48,Anticipated,Montana State University,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,43:03.5,43:03.5
2,NCT04233424,,1/6/20,,,5/31/22,1/16/20,1/18/20,Actual,,,,,,,5/31/22,6/1/22,Actual,24-Jun-20,Actual,6/24/20,May-22,5/31/22,Sep-22,Anticipated,9/30/22,2-Aug-22,Anticipated,8/2/22,,Interventional,,,D-PLEX 311: Safety and Efficacy of D-PLEX in the Prevention of Post Abdominal Surgery Incisional Infection,"D-PLEX 311- Phase III, Prospective, Multinational, Multicenter, Randomized, Controlled, Two-arm, Double Blind Study to Assess Efficacy and Safety of D-PLEX In Prevention of Post Abdominal Surgery Incisional Infection(SHIELD I)","Active, not recruiting",,Phase 3,950,Actual,PolyPid Ltd.,,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,FALSE,,,,,,,,43:38.8,43:38.8
3,NCT04175249,,11/21/19,,,5/25/22,11/21/19,11/22/19,Actual,,,,,,,5/25/22,5/31/22,Actual,26-Nov-19,Actual,11/26/19,May-22,5/31/22,30-May-20,Actual,5/30/20,30-Apr-20,Actual,4/30/20,,Interventional,PIMETA,,Pizza Meal Challenge and Immunometabolism (PIMETA),Effects of a Pizza Meal Challenge on the Immunometabolism of Monocytes and T Cells,Completed,,Not Applicable,20,Actual,"Charite University, Berlin, Germany",,1,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,Beginning 9 months and ending 36 months following article publication.,Researchers who provide a methodologically sound proposal.,,Yes,"Individual participant data that underlie the results of reported articles (text, tables, figures, supplemental data) will be shared after deidentification.",44:02.5,44:02.5
4,NCT00329745,,5/24/06,7/2/09,,10/27/16,5/24/06,5/25/06,Estimate,9/11/09,10/14/09,Estimate,,,,10/27/16,12/9/16,Estimate,Jan-07,,1/31/07,Oct-16,10/31/16,Jul-08,Actual,7/31/08,Jul-08,Actual,7/31/08,,Interventional,,,"Year 3 Extension for Efficacy Follow-up in Subjects Vaccinated in Studies Rota-028, 029 or 030 (NCT00197210)","A Phase III, Double-blind, Randomized, Placebo-controlled, Multi-country and Multi-center Study to Assess the Efficacy and Safety of Two Doses of GSK Biologicals' Oral Live Attenuated Human Rotavirus (HRV) Vaccine in Healthy Infants.",Completed,,Phase 3,8687,Actual,GlaxoSmithKline,,2,,,FALSE,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,47:19.4,47:19.4
5,NCT03828201,,1/29/19,,,5/27/22,1/31/19,2/4/19,Actual,,,,,,,5/27/22,6/1/22,Actual,Jun-22,Anticipated,6/30/22,May-22,5/31/22,Jul-25,Anticipated,7/31/25,Jul-25,Anticipated,7/31/25,,Interventional,DRAMATIC,,"Efficacy and Tolerability of Bedaquiline, Delamanid, Levofloxacin, Linezolid, and Clofazimine to Treat MDR-TB","Prospective, Randomized, Partially Blinded, Phase 2 Study of the Efficacy and Tolerability of Bedaquiline, Delamanid, Levofloxacin, Linezolid, and Clofazimine for Treatment of Patients With MDR-TB",Recruiting,,Phase 2,220,Anticipated,Boston University,,4,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,,No,,46:30.7,46:30.7
6,NCT03723551,,10/26/18,,,5/30/22,10/26/18,10/29/18,Actual,,,,,,,5/30/22,6/1/22,Actual,20-Feb-19,Actual,2/20/19,May-22,5/31/22,31-Dec-23,Anticipated,12/31/23,31-Dec-23,Anticipated,12/31/23,,Interventional,,,"Study to Assess Safety, Tolerability and Efficacy of Afabicin in The Treatment of Participants With Bone or Joint Infection Due to Staphylococcus","Randomized Open-label Active-controlled Study to Assess the Safety, Tolerability, and Efficacy of Afabicin IV/Oral in the Treatment of Patients With Bone or Joint Infection Due to Staphylococcus",Recruiting,,Phase 2,96,Anticipated,Debiopharm International SA,,4,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,,,,47:37.6,47:37.6
7,NCT02715336,,3/5/16,,,7/17/20,3/16/16,3/22/16,Estimate,,,,,,,7/17/20,7/20/20,Actual,Oct-15,,10/31/15,Jul-20,7/31/20,Sep-21,Anticipated,9/30/21,Sep-20,Anticipated,9/30/20,,Interventional,,,Efficacy and Safety of Medication Used to Stimulate Ovulation,"A Randomized Controlled Trial of Pre-retrieval Triggering Methods in in Vitro Fertilization Patients Classified as Low, Normal or High Responder",Recruiting,,Phase 4,666,Anticipated,Create Fertility Center,,6,,,FALSE,,,,FALSE,,,,,,,,,,,,,53:07.1,53:07.1
8,NCT03504774,,4/3/18,,,5/26/22,4/19/18,4/20/18,Actual,,,,,,,5/26/22,6/1/22,Actual,9-Jul-19,Actual,7/9/19,May-22,5/31/22,1-Mar-23,Anticipated,3/1/23,1-Dec-22,Anticipated,12/1/22,,Interventional,MOTIF,,Food Allergen OIT for Shrimp and Cashew,T Cell Reagent Research for Monitoring T Cells in Food Allergy (MOTIF) Phase 2 Study Using Food Allergen Oral Immunotherapy for Shrimp or Cashew Allergies,"Active, not recruiting",,Phase 2,52,Actual,Stanford University,,1,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,,No,,49:07.2,49:07.2
9,NCT02715414,,3/3/16,,,2/27/20,3/21/16,3/22/16,Estimate,,,,,,,2/27/20,3/2/20,Actual,Jun-15,Actual,6/30/15,Feb-20,2/29/20,Dec-19,Actual,12/31/19,Aug-18,Actual,8/31/18,,Interventional,,,Family Groups for Urban Youth With Disruptive Behavior,Family Groups for Urban Youth With Disruptive Behavior,Completed,,Not Applicable,2956,Actual,NYU Silver School of Social Work,,3,,,FALSE,,,,FALSE,,,,,,,,,,,Yes,"All data collected in this project will be made available to the scientific community for educational, research, and non-profit purposes, and will meet the standards established by NIH and rigorous human subjects protection. Investigators in this proposal will adhere to NIH policy on data sharing as described in http://grants2.nih.gov/grants/policy/data_sharing/data_sharing_guidance.htm. Data request forms and procedures and policies for data sharing have been developed following these guidelines.",53:12.2,53:12.2
10,NCT03205124,,6/25/17,,,5/27/22,6/28/17,7/2/17,Actual,,,,,,,5/27/22,6/1/22,Actual,1-Oct-17,Actual,10/1/17,May-22,5/31/22,31-Aug-24,Anticipated,8/31/24,31-Aug-24,Anticipated,8/31/24,,Interventional,,,The Effect of Pre-operative Electrical Stimulation on Peripheral Nerve Regeneration.,"The Effect of Pre-operative and/or Post-operative Electrical Stimulation on Enhancing Regeneration of Peripheral Sensory Nerve Regeneration in Human Hand, a Double Blind Randomized Controlled Study.",Recruiting,,Phase 2/Phase 3,66,Anticipated,University of Alberta,,3,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,No plan to share individual participant data with other researchers.,50:16.6,50:16.6
11,NCT03182907,,6/8/17,,,5/27/22,6/8/17,6/9/17,Actual,,,,,,,5/27/22,5/31/22,Actual,27-Mar-18,Actual,3/27/18,May-22,5/31/22,12-May-22,Actual,5/12/22,12-May-22,Actual,5/12/22,,Interventional,MODIFY III,,Bezlotoxumab (MK-6072) Versus Placebo in Children With Clostridium Difficile Infection (CDI) (MK-6072-001),"A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of a Single Infusion of Bezlotoxumab (MK-6072, Human Monoclonal Antibody to C. Difficile Toxin B) in Children Aged 1 to <18 Years Receiving Antibacterial Drug Treatment for C. Difficile Infection (MODIFY III)",Completed,,Phase 3,143,Actual,Merck Sharp & Dohme LLC,,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,http://engagezone.msd.com/ds_documentation.php,Yes,http://engagezone.msd.com/doc/ProcedureAccessClinicalTrialData.pdf,50:21.3,50:21.3
12,NCT02930564,,10/9/16,,,5/29/22,10/9/16,10/12/16,Estimate,,,,,,,5/29/22,6/1/22,Actual,Jan-17,Actual,1/31/17,May-22,5/31/22,29-May-22,Actual,5/29/22,29-May-22,Actual,5/29/22,,Interventional,,,The Challenge Study: A Dietary Personalization Protocol for Patients With Crohn's Disease and Deep Remission,The Challenge Study: A Dietary Personalization Protocol for Patients With Crohn's Disease and Deep Remission,Terminated,,Not Applicable,10,Actual,Wolfson Medical Center,,1,,It is not possible to continue the study,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,Undecided,,51:36.8,51:36.8
